apple, an apple, apples
fish, a fish, fish
envelope, an envelope, envelopes
flamingo, a flamingo, flamingos
laptop, a laptop, laptops
camera, a camera, cameras
carrot, a carrot, carrots
dolphin, a dolphin, dolphins
marble, a marble, marbles
snail, a snail, snails
teapot, a teapot, teapots
coin, a coin, coins
monkey, a monkey, monkeys
otter, an otter, otters
parrot, a parrot, parrots
dice, a dice, dice
duck, a duck, ducks
lemon, a lemon, lemons
mug, a mug, mugs
candle, a candle, candles
motorcycle, a motorcycle, motorcycles
tent, a tent, tents
horse, a horse, horses
star, a star, stars
turtle, a turtle, turtles
watermelon, a watermelon, watermelons
zucchini, a zucchini, zucchinis
notebook, a notebook, notebooks
boat, a boat, boats
raccoon, a raccoon, raccoons
phone, a phone, phones
pyramid, a pyramid, pyramids
car, a car, cars
cottage, a house, cottages
windmill, a windmill, windmills
jellyfish, a jellyfish, jellyfishes
guitar, a guitar, guitars
cat, a cat, cats
kangaroo, a kangaroo, kangaroos
knife, a knife, knives
pillow, a pillow, pillows
bus, a bus, buses
clock, a clock, clocks
brush, a brush, brushes
flower, a flower, flowers
koala, a koala, koalas
bulb, a bulb, bulbs
orange, an orange, oranges
gorilla, a gorilla, gorillas
hamburger, a hamburger, hamburgers
strawberry, a strawberry, strawberries
owl, an owl, owls
pineapple, a pineapple, pineapples
pumpkin, a pumpkin, pumpkins
bottle, a bottle, bottles
tree, a tree, trees
umbrella, an umbrella, umbrellas
vase, a vase, vases
whale, a whale, whales
mushroom, a mushroom, mushrooms
